Season,Age,Team,Lg,Pos,G_x,GS,MP,FG%,Dist.,pct_fga_2P,pct_fga_0-3,pct_fga_3-10,pct_fga_10-16,pct_fga_16-3P,pct_fga_3P,fg_pct_zone_2P,fg_pct_zone_0-3,fg_pct_zone_3-10,fg_pct_zone_10-16,fg_pct_zone_16-3P,fg_pct_zone_3P,pct_ast_2P,pct_ast_3P,dunks_%FGA,dunks_#,corner3_%3PA,corner3_3P%,halfcourt_Att.,halfcourt_Md.,halfcourt_Awards,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,G_y,PPG,RPG,APG,MPG
2018,19.0,BOS,NBA,SF,80,80,2443,0.475,12.7,0.71,0.32,0.107,0.096,0.188,0.29,0.492,0.629,0.258,0.438,0.42,0.434,0.565,0.924,0.071,51,0.227,0.564,0,0,ROY-3,16.2,0.578,0.272,0.372,1.6,12.6,7.0,13.3,1.7,1.3,11.9,23.3,0.8,0.8,1.6,0.116,0.0,1.5,1.5,0.6,19,18.5,4.4,2.7,35.9
2019,20.0,BOS,NBA,SF,79,79,2455,0.45,13.6,0.7,0.261,0.133,0.137,0.169,0.3,0.483,0.678,0.326,0.43,0.349,0.373,0.497,0.853,0.07,68,0.273,0.341,0,0,,13.5,0.53,0.277,0.348,2.5,17.6,10.4,10.0,1.6,2.2,12.2,22.0,-0.1,0.6,0.5,0.075,-0.5,1.6,1.0,0.2,9,15.2,6.7,1.9,32.8
2020,21.0,BOS,NBA,PF,66,66,2265,0.45,14.4,0.617,0.248,0.155,0.126,0.089,0.383,0.48,0.618,0.374,0.396,0.394,0.403,0.433,0.545,0.05,56,0.171,0.413,3,0,"MVP-12,AS,NBA3",20.7,0.563,0.377,0.368,3.7,23.1,13.8,21.3,1.2,2.9,11.0,28.2,1.1,1.3,2.3,0.163,4.5,1.8,6.3,1.4,17,25.7,10.0,5.0,40.6
2021,22.0,BOS,NBA,SF,64,64,2290,0.459,14.6,0.632,0.197,0.206,0.141,0.088,0.368,0.502,0.735,0.417,0.349,0.422,0.386,0.383,0.465,0.045,55,0.136,0.364,1,0,AS,24.1,0.577,0.324,0.441,1.8,17.2,9.1,22.8,1.6,4.1,8.9,33.3,0.5,-0.1,0.4,0.114,5.7,0.7,6.5,0.4,5,30.6,5.8,4.6,37.0
2022,23.0,BOS,NBA,SF,76,76,2731,0.453,15.0,0.584,0.219,0.169,0.087,0.1,0.416,0.524,0.746,0.4,0.331,0.41,0.353,0.425,0.565,0.052,76,0.117,0.395,2,0,"MVP-6,AS,NBA1",17.6,0.562,0.415,0.36,2.8,15.2,9.2,26.9,1.5,2.0,15.5,29.6,0.8,1.5,2.2,0.11,3.1,1.4,4.5,1.6,24,25.6,6.7,6.2,41.0
2023,24.0,BOS,NBA,SF,74,74,2732,0.466,14.8,0.56,0.235,0.208,0.058,0.06,0.44,0.558,0.738,0.457,0.389,0.366,0.35,0.515,0.646,0.065,91,0.08,0.455,0,0,"MVP-4,CPOY-10,AS,NBA1",22.6,0.585,0.406,0.339,3.8,25.6,15.0,21.4,1.3,2.3,10.8,29.4,1.7,1.1,2.8,0.168,4.0,1.3,5.3,1.5,20,27.2,10.5,5.3,40.0
2024,25.0,BOS,NBA,PF,74,74,2645,0.471,15.4,0.573,0.222,0.167,0.092,0.092,0.427,0.542,0.741,0.441,0.389,0.397,0.376,0.357,0.485,0.065,86,0.059,0.361,0,0,"MVP-6,CPOY-9,AS,NBA1",20.1,0.549,0.371,0.368,2.6,25.3,14.1,25.5,1.4,1.6,10.4,29.2,1.3,1.3,2.7,0.167,2.3,1.4,3.7,1.1,19,25.0,9.7,6.3,40.4
2025,26.0,BOS,NBA,PF,72,72,2624,0.452,17.1,0.503,0.182,0.149,0.089,0.083,0.497,0.559,0.782,0.479,0.359,0.43,0.343,0.35,0.46,0.059,79,0.059,0.419,0,0,"MVP-4,CPOY-10,AS,NBA1",24.1,0.566,0.446,0.309,3.3,28.0,16.0,25.3,2.8,1.7,11.6,31.9,0.6,0.8,1.4,0.202,5.4,3.2,8.6,0.9,8,28.1,11.5,5.4,40.3
2026,27.0,BOS,NBA,PF,16,16,522,0.411,16.8,0.502,0.171,0.167,0.098,0.066,0.498,0.493,0.694,0.396,0.464,0.263,0.329,0.239,0.532,0.017,4,0.07,0.4,0,0,,24.0,0.608,0.515,0.317,2.9,29.7,16.0,32.7,1.6,0.0,12.9,26.8,0.6,0.3,1.0,0.212,5.5,3.5,8.9,0.6,6,23.3,10.7,6.8,36.3
