Season,Age,Team,Lg,Pos,G_x,GS,MP,FG%,Dist.,pct_fga_2P,pct_fga_0-3,pct_fga_3-10,pct_fga_10-16,pct_fga_16-3P,pct_fga_3P,fg_pct_zone_2P,fg_pct_zone_0-3,fg_pct_zone_3-10,fg_pct_zone_10-16,fg_pct_zone_16-3P,fg_pct_zone_3P,pct_ast_2P,pct_ast_3P,dunks_%FGA,dunks_#,corner3_%3PA,corner3_3P%,halfcourt_Att.,halfcourt_Md.,halfcourt_Awards,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,G_y,PPG,RPG,APG,MPG
2019,20.0,LAC,NBA,PG,6.0,6.0,173.0,0.467,14.1,0.7,0.25,0.133,0.167,0.15,0.3,0.452,0.6,0.125,0.4,0.556,0.5,0.421,1.0,0.017,1.0,0.111,0.5,1.0,0.0,,16.6,0.596,0.3,0.333,2.4,8.2,5.2,16.4,1.6,2.4,6.8,17.8,0.4,-0.1,0.3,0.086,2.1,0.8,2.9,0.2,6.0,13.7,2.7,3.2,28.8
2020,21.0,OKC,NBA,SG,7.0,7.0,279.0,0.433,15.0,0.611,0.211,0.222,0.122,0.056,0.389,0.455,0.474,0.45,0.455,0.4,0.4,0.32,0.357,0.011,1.0,0.171,0.667,1.0,0.0,,13.1,0.569,0.389,0.256,1.2,12.3,6.9,16.9,1.2,1.3,13.0,17.8,0.3,0.3,0.6,0.1,0.6,1.2,1.8,0.3,7.0,16.3,5.3,4.1,39.9
2024,25.0,OKC,NBA,PG,10.0,10.0,399.0,0.496,12.1,0.835,0.201,0.205,0.317,0.112,0.165,0.508,0.622,0.326,0.592,0.4,0.432,0.137,0.25,0.009,2.0,0.189,0.286,0.0,0.0,,25.5,0.582,0.165,0.362,2.3,17.1,10.0,29.6,1.7,4.0,7.8,32.2,1.1,0.9,1.9,0.233,5.9,3.3,9.2,1.1,10.0,30.2,7.2,6.4,39.9
2025,26.0,OKC,NBA,PG,23.0,23.0,851.0,0.462,13.5,0.776,0.183,0.19,0.266,0.137,0.224,0.514,0.641,0.49,0.5,0.406,0.283,0.114,0.188,0.022,10.0,0.027,0.333,3.0,0.0,Finals MVP-1,25.3,0.574,0.224,0.431,2.9,12.9,7.9,30.6,2.2,2.4,9.1,32.9,2.6,1.4,3.9,0.222,5.7,2.6,8.3,2.2,23.0,29.9,5.3,6.5,37.0
2026,27.0,OKC,NBA,PG,15.0,15.0,544.0,0.463,13.9,0.793,0.175,0.137,0.298,0.182,0.207,0.504,0.62,0.436,0.518,0.423,0.305,0.246,0.444,0.021,6.0,0.085,0.4,0.0,0.0,,24.9,0.591,0.207,0.519,1.3,7.9,4.7,35.8,1.8,2.4,11.6,31.9,2.0,0.4,2.4,0.212,5.2,1.3,6.5,1.2,15.0,27.6,2.9,7.9,36.3
