Season,Age,Team,Lg,Pos,G_x,GS,MP,FG%,Dist.,pct_fga_2P,pct_fga_0-3,pct_fga_3-10,pct_fga_10-16,pct_fga_16-3P,pct_fga_3P,fg_pct_zone_2P,fg_pct_zone_0-3,fg_pct_zone_3-10,fg_pct_zone_10-16,fg_pct_zone_16-3P,fg_pct_zone_3P,pct_ast_2P,pct_ast_3P,dunks_%FGA,dunks_#,corner3_%3PA,corner3_3P%,halfcourt_Att.,halfcourt_Md.,halfcourt_Awards,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,G_y,PPG,RPG,APG,MPG
2015,20.0,MIL,NBA,SG,6.0,6.0,201.0,0.366,7.3,0.986,0.465,0.239,0.056,0.225,0.014,0.371,0.515,0.235,0.25,0.25,0.0,0.577,,0.014,1.0,0.0,,0.0,0.0,,10.9,0.425,0.014,0.324,5.8,17.3,11.1,14.3,0.8,4.0,11.9,20.6,-0.2,0.2,0.0,-0.003,-2.6,0.3,-2.3,0.0,6.0,11.5,7.0,2.7,33.5
2017,22.0,MIL,NBA,SF,6.0,6.0,243.0,0.536,7.5,0.911,0.554,0.161,0.045,0.161,0.089,0.549,0.629,0.389,0.4,0.444,0.4,0.464,0.75,0.152,16.0,0.1,1.0,0.0,0.0,,21.9,0.563,0.089,0.411,4.6,25.1,14.1,20.6,2.8,4.0,13.1,29.9,0.1,0.6,0.7,0.138,3.8,2.8,6.6,0.5,6.0,24.8,9.5,4.0,40.5
2018,23.0,MIL,NBA,PF,7.0,7.0,280.0,0.57,8.6,0.884,0.43,0.19,0.157,0.107,0.116,0.607,0.769,0.478,0.474,0.385,0.286,0.431,1.0,0.165,18.0,0.0,,1.0,0.0,,26.6,0.62,0.116,0.455,3.7,23.5,14.3,28.2,1.9,1.9,10.5,28.2,1.0,0.4,1.4,0.239,5.6,1.4,7.1,0.6,7.0,25.7,9.6,6.3,40.0
2019,24.0,MIL,NBA,PF,15.0,15.0,514.0,0.494,9.0,0.789,0.502,0.188,0.061,0.042,0.211,0.539,0.718,0.224,0.125,0.364,0.327,0.459,0.833,0.161,40.0,0.036,0.0,0.0,0.0,,26.5,0.572,0.211,0.644,7.3,27.7,17.9,25.1,1.7,5.3,13.0,32.2,1.0,1.3,2.3,0.216,5.0,3.4,8.3,1.4,15.0,25.5,12.2,4.9,34.3
2020,25.0,MIL,NBA,PF,9.0,9.0,277.0,0.559,9.3,0.752,0.503,0.18,0.037,0.031,0.248,0.636,0.716,0.483,0.333,0.6,0.325,0.442,0.538,0.211,33.0,0.025,1.0,0.0,0.0,,31.3,0.61,0.248,0.503,10.3,38.2,24.0,36.7,1.0,3.1,13.2,35.2,0.9,0.5,1.4,0.238,7.8,3.4,11.2,0.9,9.0,26.7,13.8,5.7,30.8
2021,26.0,MIL,NBA,PF,21.0,21.0,800.0,0.569,8.7,0.841,0.449,0.203,0.134,0.055,0.159,0.642,0.807,0.472,0.492,0.292,0.186,0.443,0.538,0.164,70.0,0.0,,1.0,0.0,Finals MVP-1,27.6,0.599,0.159,0.469,7.8,28.7,18.0,24.3,1.3,2.9,10.8,31.8,2.0,1.7,3.7,0.224,6.7,3.2,9.9,2.4,21.0,30.2,12.8,5.1,38.1
2022,27.0,MIL,NBA,PF,12.0,12.0,448.0,0.491,9.6,0.856,0.351,0.281,0.112,0.112,0.144,0.537,0.83,0.313,0.313,0.406,0.22,0.328,0.333,0.14,39.0,0.049,0.0,1.0,0.0,,26.8,0.552,0.144,0.47,6.2,31.8,19.4,36.9,0.9,3.4,13.6,38.5,0.6,1.1,1.7,0.178,6.5,4.0,10.4,1.4,12.0,31.7,14.2,6.8,37.3
2023,28.0,MIL,NBA,PF,3.0,3.0,91.0,0.528,6.6,0.943,0.528,0.226,0.132,0.057,0.057,0.56,0.75,0.5,0.143,0.0,0.0,0.429,,0.094,5.0,0.0,,0.0,0.0,,18.8,0.525,0.057,0.585,9.5,32.4,20.4,29.8,0.5,1.9,17.4,37.3,-0.1,0.1,0.0,-0.026,1.3,0.6,2.0,0.1,3.0,23.3,11.0,5.3,30.3
2025,30.0,MIL,NBA,PF,5.0,5.0,188.0,0.606,7.3,0.949,0.495,0.212,0.091,0.152,0.051,0.628,0.816,0.524,0.444,0.267,0.2,0.305,1.0,0.121,12.0,0.0,,0.0,0.0,,33.2,0.651,0.051,0.636,11.0,38.0,23.6,35.6,1.3,2.6,15.4,35.3,0.8,0.1,0.9,0.232,8.2,3.2,11.4,0.6,5.0,33.0,15.4,6.6,37.6
