Season,Age,Team,Lg,Pos,G_x,GS,MP,FG%,Dist.,pct_fga_2P,pct_fga_0-3,pct_fga_3-10,pct_fga_10-16,pct_fga_16-3P,pct_fga_3P,fg_pct_zone_2P,fg_pct_zone_0-3,fg_pct_zone_3-10,fg_pct_zone_10-16,fg_pct_zone_16-3P,fg_pct_zone_3P,pct_ast_2P,pct_ast_3P,dunks_%FGA,dunks_#,corner3_%3PA,corner3_3P%,halfcourt_Att.,halfcourt_Md.,halfcourt_Awards,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,G_y,PPG,RPG,APG,MPG
2019,20.0,LAC,NBA,PG,82.0,73.0,2174.0,0.476,11.2,0.806,0.314,0.161,0.222,0.109,0.194,0.503,0.631,0.417,0.415,0.436,0.367,0.31,0.902,0.028,19.0,0.46,0.406,1.0,0.0,ROY-6,13.4,0.554,0.194,0.272,2.9,8.3,5.7,17.8,2.1,1.6,15.0,18.3,1.5,1.9,3.3,0.074,-0.9,0.4,-0.5,0.8,82.0,10.8,2.8,3.3,26.5
2020,21.0,OKC,NBA,SG,70.0,70.0,2428.0,0.471,11.4,0.753,0.286,0.263,0.136,0.068,0.247,0.512,0.617,0.404,0.5,0.507,0.347,0.235,0.54,0.019,19.0,0.127,0.438,0.0,0.0,,17.7,0.568,0.247,0.352,2.2,16.1,9.4,15.2,1.6,1.7,10.3,23.7,3.1,3.0,6.1,0.121,1.3,0.4,1.7,2.2,70.0,19.0,5.9,3.3,34.7
2021,22.0,OKC,NBA,SG,35.0,35.0,1180.0,0.508,11.6,0.699,0.333,0.225,0.097,0.044,0.301,0.547,0.633,0.528,0.382,0.36,0.418,0.074,0.296,0.018,10.0,0.076,0.462,0.0,0.0,,21.6,0.623,0.301,0.405,1.7,13.1,7.3,31.2,1.1,1.7,13.7,27.8,2.7,0.8,3.5,0.143,3.9,0.2,4.1,1.8,35.0,23.7,4.7,5.9,33.7
2022,23.0,OKC,NBA,PG,56.0,56.0,1942.0,0.453,11.8,0.718,0.217,0.317,0.13,0.047,0.282,0.514,0.667,0.447,0.445,0.49,0.3,0.137,0.303,0.023,23.0,0.077,0.391,0.0,0.0,,20.9,0.557,0.282,0.385,1.9,13.0,7.4,31.1,1.8,2.2,11.1,30.8,2.8,1.8,4.6,0.113,2.9,0.5,3.4,2.7,56.0,24.5,5.0,5.9,34.7
2023,24.0,OKC,NBA,PG,68.0,68.0,2416.0,0.51,9.8,0.878,0.283,0.276,0.246,0.073,0.122,0.533,0.678,0.438,0.512,0.396,0.345,0.201,0.31,0.039,50.0,0.101,0.235,1.0,0.0,"MVP-5,CPOY-7,AS,NBA1",27.2,0.626,0.122,0.535,2.6,12.2,7.3,25.7,2.2,2.5,10.1,32.8,8.4,3.0,11.4,0.226,5.7,1.5,7.3,5.6,68.0,31.4,4.8,5.5,35.5
2024,25.0,OKC,NBA,PG,75.0,75.0,2553.0,0.535,11.3,0.819,0.252,0.224,0.26,0.083,0.181,0.576,0.731,0.492,0.53,0.472,0.353,0.223,0.368,0.027,37.0,0.059,0.5,0.0,0.0,"MVP-2,DPOY-7,CPOY-3,AS,NBA1",29.3,0.636,0.181,0.436,3.0,14.7,9.1,29.8,2.8,2.4,8.4,32.8,10.5,4.2,14.6,0.275,6.7,2.3,9.0,7.1,75.0,30.1,5.5,6.2,34.0
2025,26.0,OKC,NBA,PG,76.0,76.0,2598.0,0.519,12.9,0.737,0.206,0.231,0.222,0.079,0.263,0.571,0.742,0.492,0.548,0.42,0.375,0.212,0.35,0.028,46.0,0.034,0.333,1.0,0.0,"MVP-1,DPOY-10,CPOY-8,AS,NBA1",30.7,0.637,0.263,0.404,2.8,12.6,7.8,31.3,2.4,3.0,8.6,34.8,11.9,4.8,16.7,0.309,8.9,2.6,11.5,8.9,76.0,32.7,5.0,6.4,34.2
2026,27.0,OKC,NBA,PG,68.0,68.0,2259.0,0.553,12.6,0.774,0.228,0.173,0.273,0.101,0.226,0.602,0.754,0.485,0.586,0.504,0.386,0.183,0.27,0.015,20.0,0.054,0.313,0.0,0.0,"MVP-1,CPOY-1,AS,NBA1",30.8,0.665,0.226,0.465,1.9,11.7,7.0,35.0,2.0,2.3,8.7,33.4,11.1,4.1,15.2,0.323,8.7,3.0,11.7,7.8,68.0,31.1,4.3,6.6,33.2
