Season,Age,Team,Lg,Pos,G_x,GS,MP,FG%,Dist.,pct_fga_2P,pct_fga_0-3,pct_fga_3-10,pct_fga_10-16,pct_fga_16-3P,pct_fga_3P,fg_pct_zone_2P,fg_pct_zone_0-3,fg_pct_zone_3-10,fg_pct_zone_10-16,fg_pct_zone_16-3P,fg_pct_zone_3P,pct_ast_2P,pct_ast_3P,dunks_%FGA,dunks_#,corner3_%3PA,corner3_3P%,halfcourt_Att.,halfcourt_Md.,halfcourt_Awards,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,G_y,PPG,RPG,APG,MPG
2020,20.0,DAL,NBA,PG,6.0,6.0,215.0,0.5,14.1,0.656,0.195,0.289,0.133,0.039,0.344,0.571,0.72,0.595,0.294,0.6,0.364,0.063,0.188,0.0,0.0,0.0,,1.0,0.0,,26.9,0.596,0.344,0.5,2.0,28.3,15.0,42.7,1.5,1.2,16.6,37.5,0.4,0.0,0.5,0.101,6.9,1.0,7.9,0.5,6.0,31.0,9.8,8.7,35.8
2021,21.0,DAL,NBA,PG,7.0,7.0,281.0,0.49,16.0,0.612,0.138,0.219,0.173,0.082,0.388,0.542,0.852,0.372,0.529,0.5,0.408,0.092,0.065,0.005,1.0,0.013,0.0,0.0,0.0,,27.5,0.572,0.388,0.26,1.6,22.3,11.4,54.1,1.7,1.2,12.8,40.4,0.6,0.1,0.7,0.127,10.0,1.8,11.8,1.0,7.0,35.7,7.9,10.3,40.1
2022,22.0,DAL,NBA,PG,15.0,15.0,552.0,0.455,15.4,0.58,0.136,0.295,0.111,0.037,0.42,0.534,0.792,0.452,0.538,0.231,0.345,0.165,0.216,0.023,8.0,0.02,0.333,0.0,0.0,,28.6,0.577,0.42,0.384,2.1,29.7,15.7,37.3,2.5,1.5,12.5,40.4,1.1,0.8,1.9,0.164,6.8,2.5,9.3,1.6,15.0,31.7,9.8,6.4,36.8
2024,24.0,DAL,NBA,PG,22.0,22.0,900.0,0.446,16.9,0.581,0.087,0.236,0.155,0.103,0.419,0.536,0.841,0.487,0.423,0.558,0.322,0.121,0.294,0.0,0.0,0.033,0.143,1.0,0.0,,22.5,0.556,0.419,0.304,2.1,24.2,13.2,35.3,2.4,0.9,13.6,33.4,1.3,1.5,2.8,0.149,5.1,2.4,7.6,2.2,22.0,28.9,9.5,8.1,40.9
2025,25.0,LAL,NBA,PG,5.0,5.0,208.0,0.452,17.0,0.558,0.087,0.24,0.173,0.058,0.442,0.534,0.889,0.48,0.444,0.5,0.348,0.29,0.375,0.0,0.0,0.022,1.0,1.0,0.0,,21.5,0.608,0.442,0.442,1.1,18.0,9.8,28.2,1.3,1.4,13.9,32.4,0.5,0.1,0.6,0.136,4.8,0.5,5.3,0.4,5.0,30.2,7.0,5.8,41.6
