Season,Age,Team,Lg,Pos,G_x,GS,MP,FG%,Dist.,pct_fga_2P,pct_fga_0-3,pct_fga_3-10,pct_fga_10-16,pct_fga_16-3P,pct_fga_3P,fg_pct_zone_2P,fg_pct_zone_0-3,fg_pct_zone_3-10,fg_pct_zone_10-16,fg_pct_zone_16-3P,fg_pct_zone_3P,pct_ast_2P,pct_ast_3P,dunks_%FGA,dunks_#,corner3_%3PA,corner3_3P%,halfcourt_Att.,halfcourt_Md.,halfcourt_Awards,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,G_y,PPG,RPG,APG,MPG
2019,19.0,DAL,NBA,SG,72.0,72.0,2318.0,0.427,15.5,0.567,0.209,0.212,0.103,0.042,0.433,0.503,0.637,0.448,0.377,0.42,0.327,0.195,0.423,0.022,25.0,0.058,0.5,14.0,1.0,ROY-1,19.6,0.545,0.433,0.409,4.0,21.9,13.0,31.6,1.6,0.9,15.0,30.5,2.1,2.8,4.9,0.101,3.6,0.3,3.9,3.4,72.0,21.2,7.8,6.0,32.2
2020,20.0,DAL,NBA,PG,61.0,61.0,2047.0,0.463,14.5,0.569,0.26,0.237,0.058,0.014,0.431,0.574,0.752,0.436,0.37,0.471,0.316,0.171,0.24,0.012,14.0,0.02,0.273,9.0,0.0,"MVP-4,AS,NBA1",27.6,0.585,0.431,0.448,4.1,25.0,14.7,45.7,1.5,0.6,14.8,36.8,6.5,2.3,8.8,0.207,7.4,1.0,8.4,5.4,61.0,28.8,9.4,8.8,33.6
2021,21.0,DAL,NBA,PG,66.0,66.0,2262.0,0.479,15.6,0.594,0.18,0.201,0.153,0.06,0.406,0.567,0.708,0.507,0.512,0.481,0.35,0.095,0.234,0.008,11.0,0.031,0.471,5.0,0.0,"MVP-6,AS,NBA1",25.3,0.587,0.406,0.349,2.7,22.9,12.8,44.1,1.4,1.5,15.3,36.0,5.1,2.6,7.7,0.163,6.1,0.7,6.8,5.1,66.0,27.7,8.0,8.6,34.3
2022,22.0,DAL,NBA,PG,65.0,65.0,2301.0,0.457,15.9,0.594,0.128,0.239,0.165,0.062,0.406,0.528,0.778,0.499,0.44,0.356,0.353,0.107,0.219,0.006,7.0,0.049,0.286,2.0,0.0,"MVP-5,AS,NBA1",25.1,0.571,0.406,0.349,2.7,26.0,14.3,46.0,1.6,1.4,15.3,37.4,3.8,3.8,7.6,0.159,6.4,1.8,8.2,5.9,65.0,28.4,9.1,8.7,35.4
2023,23.0,DAL,NBA,PG,66.0,66.0,2391.0,0.496,14.7,0.627,0.176,0.252,0.145,0.054,0.373,0.588,0.745,0.578,0.51,0.333,0.342,0.131,0.216,0.01,12.0,0.041,0.273,8.0,0.0,"MVP-8,CPOY-8,AS,NBA1",28.7,0.609,0.373,0.479,2.6,25.4,13.8,42.3,1.9,1.2,11.9,37.6,7.3,2.9,10.2,0.204,7.6,1.4,8.9,6.6,66.0,32.4,8.6,8.0,36.2
2024,24.0,DAL,NBA,PG,70.0,70.0,2624.0,0.487,16.9,0.55,0.123,0.192,0.152,0.082,0.45,0.573,0.838,0.569,0.442,0.422,0.382,0.177,0.299,0.001,2.0,0.032,0.25,5.0,0.0,"MVP-3,CPOY-6,AS,NBA1",28.1,0.617,0.45,0.368,2.5,24.4,13.5,44.3,1.8,1.3,12.8,36.0,8.5,3.5,12.0,0.22,8.3,1.7,9.9,8.0,70.0,33.9,9.2,9.8,37.5
2025,25.0,2TM,NBA,PG,50.0,50.0,1769.0,0.45,17.4,0.531,0.104,0.193,0.167,0.066,0.469,0.522,0.748,0.535,0.45,0.309,0.368,0.261,0.441,0.001,1.0,0.046,0.364,2.0,0.0,,24.1,0.587,0.469,0.385,2.6,22.6,12.8,36.1,2.5,1.1,13.0,33.9,3.5,2.4,5.9,0.16,5.5,1.2,6.7,3.9,50.0,28.2,8.2,7.7,35.4
2026,26.0,LAL,NBA,PG,64.0,64.0,2289.0,0.476,17.8,0.524,0.076,0.198,0.186,0.063,0.476,0.575,0.829,0.595,0.509,0.402,0.366,0.219,0.382,0.003,4.0,0.058,0.2,0.0,0.0,"MVP-4,CPOY-8,AS,NBA1",27.9,0.616,0.476,0.443,2.2,22.5,12.7,40.5,2.2,1.4,12.8,38.1,6.6,2.9,9.5,0.199,8.0,1.3,9.3,6.6,64.0,33.5,7.7,8.3,35.8
