Season,Age,Team,Lg,Pos,G_x,GS,MP,FG%,Dist.,pct_fga_2P,pct_fga_0-3,pct_fga_3-10,pct_fga_10-16,pct_fga_16-3P,pct_fga_3P,fg_pct_zone_2P,fg_pct_zone_0-3,fg_pct_zone_3-10,fg_pct_zone_10-16,fg_pct_zone_16-3P,fg_pct_zone_3P,pct_ast_2P,pct_ast_3P,dunks_%FGA,dunks_#,corner3_%3PA,corner3_3P%,halfcourt_Att.,halfcourt_Md.,halfcourt_Awards,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,G_y,PPG,RPG,APG,MPG
2019,23.0,DEN,NBA,C,14,14,557,0.506,10.1,0.785,0.303,0.307,0.119,0.057,0.215,0.537,0.671,0.438,0.452,0.533,0.393,0.573,0.818,0.011,3,0.018,0.0,0,0,,29.6,0.596,0.215,0.299,10.0,24.5,17.2,37.1,1.5,1.8,10.9,26.6,2.4,0.6,3.0,0.259,8.3,3.3,11.6,1.9,14,25.1,13.0,8.4,39.8
2020,24.0,DEN,NBA,C,19,19,694,0.519,14.0,0.714,0.181,0.207,0.195,0.131,0.286,0.555,0.71,0.521,0.537,0.422,0.429,0.522,0.857,0.023,7,0.061,0.5,1,0,,24.8,0.614,0.286,0.23,6.4,25.5,16.0,28.6,1.5,2.1,14.1,28.9,1.9,0.6,2.5,0.172,6.1,1.3,7.4,1.7,19,24.4,9.8,5.7,36.5
2021,25.0,DEN,NBA,C,10,10,345,0.509,11.9,0.768,0.254,0.246,0.167,0.101,0.232,0.549,0.776,0.518,0.289,0.478,0.377,0.49,0.95,0.026,6,0.075,0.0,0,0,,29.6,0.591,0.232,0.241,11.3,28.0,19.0,27.7,0.9,2.5,8.7,34.8,1.2,0.1,1.3,0.181,8.8,0.2,9.0,0.9,10,29.8,11.6,5.0,34.5
2022,26.0,DEN,NBA,C,5,5,171,0.575,11.2,0.83,0.094,0.519,0.132,0.085,0.17,0.636,0.7,0.673,0.5,0.556,0.278,0.554,1.0,0.0,0,0.0,,0,0,,33.1,0.643,0.17,0.311,11.9,36.6,23.9,36.5,2.3,3.1,16.6,36.8,0.6,0.1,0.7,0.202,8.1,2.5,10.7,0.6,5,31.0,13.2,5.8,34.2
2023,27.0,DEN,NBA,C,20,20,789,0.548,10.3,0.816,0.15,0.522,0.097,0.048,0.184,0.568,0.726,0.56,0.475,0.35,0.461,0.563,0.714,0.019,8,0.013,0.0,2,0,Finals MVP-1,31.2,0.631,0.184,0.336,10.6,28.4,19.8,41.0,1.4,2.2,12.8,31.1,3.7,1.3,5.0,0.305,9.1,3.7,12.8,3.0,20,30.0,13.5,9.5,39.5
2024,28.0,DEN,NBA,C,12,12,482,0.545,10.3,0.783,0.25,0.422,0.078,0.033,0.217,0.623,0.787,0.563,0.526,0.375,0.264,0.521,0.857,0.041,10,0.019,1.0,2,0,,30.0,0.625,0.217,0.291,9.9,28.7,19.0,40.3,1.8,1.5,12.7,30.0,1.9,0.7,2.6,0.259,9.0,3.8,12.8,1.8,12,28.7,13.4,8.7,40.2
2025,29.0,DEN,NBA,C,14,14,563,0.489,14.0,0.735,0.127,0.392,0.146,0.071,0.265,0.528,0.882,0.514,0.282,0.474,0.38,0.433,0.741,0.004,1,0.056,0.25,8,0,,24.7,0.587,0.265,0.377,5.7,28.6,17.3,35.6,2.5,1.9,15.0,28.2,1.3,0.8,2.1,0.181,6.9,3.8,10.7,1.8,14,26.2,12.7,8.0,40.2
2026,30.0,DEN,NBA,C,6,6,237,0.446,12.3,0.702,0.165,0.372,0.107,0.058,0.298,0.553,0.7,0.6,0.308,0.286,0.194,0.596,0.857,0.025,3,0.111,0.0,0,0,,22.8,0.554,0.298,0.355,4.3,32.7,18.7,45.5,1.2,1.7,14.1,30.4,0.3,0.3,0.7,0.133,5.5,2.5,8.0,0.6,6,25.8,13.2,9.5,39.5
